ChannelID,Title,ViewCount,SubscriberCount,VideoCount
UCFQ6hzMsVr3iZNrgth3E0_w,WIKITREE 위키트리,77152026,150000,5125
UCm5e881woPgDIZweZiLAHSg,withpurples 퍼플,3328,7,13
UCteuwC0rw_SSZYIGqHdulNA,wj k,3810364,8230,852
UCbFwxFdjichhKWRr0LCOMpA,Won,34642,73,12
UCSSJIBgz0fLtWn9lzY-J5Rw,Wonderful won  ,347422,717,1320
UCVJC6qrSUTh1KPydT-mR_Yg,xloud_y,935022,1270,205
UCmj9ux25CcZII2MUlNkQe5A,YamyamE,203076,456,83
UCcFz45QiVybqaddoXEmXfug,Yong guert(용거트),19745,91,59
UCTIzZoHpb-soG0qnSpfFrzQ,Yonnie 요니 🇭🇰,70302,378,130
UCl97vzoOp7zyDg0aVJxwkCQ,yoo,94905,150,855
UCy-a1jHKfhZvkBqrBynzMhQ,young woo Choi,17371,10,104
UCm-sB4gt2-c1hgX12b6P1dQ,yo리나,103451,322,61
UCzYmIhe9gpODVltsRqcP0uw,Yujin Oh,72818,167,1037
UCXjdbx4i83Ng0zjwuiuP1kQ,yujoondoyoontv,134,9,3
UCY5nqDHdOIbo9mJnk6JlShQ,yuuuuuuun,2016,5,7
UCigQl5u75TqCpuUzaJlnrvw,yy LimKW,248922,631,1019
UCFM0M1GIzBHM_kRF9TcOT2A,yㅇutube,954831,529,233
UCu_FoiOkc_nnJ8we_Wp9Qpw,ZA,209826,134,200
UCRoBpqbNmX6lldj7XRmbIcA,zero0,6503,25,27
UCZQTGBkg-dWJ5bP6XtyWPQg,zzommul,23220,118,52
UC4ELaIVPzkjKyJwRav8Ucqw,ઇ민슝퓨ଓ,9381,29,23
UCVjODc-zyVtUWrbdyLMEKtA,ෆ태링💛,49658,158,116
UCsnfqLUAV5Up9JQGjfd52dg,ᰔᩚ나현ও,17001,96,97
UCMhTU-GrFcnquDN48DnZzhw,🍑초딩 채아🌸,714541,3350,146
UCrUbC6J3h1bTtOEegMnGDkw,🎀민주 Minju🎀,26981,67,35
UC49Dh6pAcCxZ0oT9ZV042Sg,💝강지연💝,413490,381,714
UC2Zg6gHbC31Ny0HToGV7Yyw,🧡치즈💛,33642,115,138
UCMdze9htPRf6DLstpXsGehg,ㄱ,95674,175,434
UCv84c94aqgSHXXaFxc82o0g,가농,2798820,421,81
UCCJ7CmVOnnNsw9wTYWuROxg,가니야 어디 가니,146060,5260,275
UCepaQ4SbRkRyJR0E6qNgF0Q,가마솥아재 gamasot arjae,2827569,20600,478
UCvxt-w30tUKb7gM9lhOWCcw,가수해븐TV*파란하늘*처음처럼사랑해그대만을,42609,1240,608
UCnXytpzTlei_dF3TdESsywQ,가지가지 다 하는 남자,201870,387,276
UCkYuYI6mAZawzrbjcFVla6w,가파86(garden_farmer86),181694,366,109
UCMJ7zpeyOZh0Hgo8g7MjfTw,각구 gak9oo,1640566,1330,114
UCyZXYyP5iVoEj-e9NPn4xEA,간식걸 snackgirl,433,518,5
UCE9cpo51UpAPJ9iJFiJrycg,간편한끼,1779,8,4
UCSfgPu-8VM3n6Ds5jSioQ1A,감귤루파,44490,48,149
UC0h4P3h2nVJT1ATVUgn8ASQ,감자와함께춤을 (감자티비),306461,287,367
